Date-Time;Latitude;Longitude;Altitude(cm);GPSSpeed(mknots);CarSpeed(Km/h);Engine(RPM);CarLoad(%);MassAir(g/s);AccelX(g);AccelY(g);AccelZ(g);GyroX(dps);GyroY(dps);GyroZ(dps);T_OBD(ms);T_SAVE(ms);T_MAIN(ms)
7/6/2021-3:2:56.100;508232305;46132192;7950;30;0;221;83;2;-0.0073;-0.7896;0.5895;1.75;-4.83;-2.17;19;0;120
7/6/2021-3:2:56.200;508232305;46132192;7950;34;0;221;98;2;-0.0244;-0.7871;0.5822;2.17;-4.13;-1.96;20;27;46
7/6/2021-3:2:56.300;508232305;46132192;7950;11;0;378;100;3;-0.0337;-0.7998;0.6178;2.52;-3.78;-1.75;20;28;48
7/6/2021-3:2:56.400;508232305;46132192;7950;10;0;571;75;5;-0.0307;-0.7842;0.6168;2.66;-4.20;-2.17;19;31;51
7/6/2021-3:2:56.500;508232305;46132192;7940;34;0;747;37;8;-0.0215;-0.7984;0.6188;1.96;-4.83;-2.17;20;28;47
7/6/2021-3:2:56.600;508232305;46132192;7940;33;0;825;0;10;0.0088;-0.7857;0.6085;2.10;-4.41;-1.82;20;28;48
7/6/2021-3:2:56.700;508232305;46132193;7940;6;0;847;10;9;-0.0005;-0.7925;0.5944;2.24;-4.34;-2.03;20;27;47
7/6/2021-3:2:56.800;508232305;46132193;7940;19;0;800;19;8;-0.0322;-0.8042;0.5949;2.38;-3.85;-1.82;20;28;48
7/6/2021-3:2:56.900;508232305;46132193;7940;9;0;764;19;8;-0.0205;-0.8223;0.5973;2.31;-3.92;-2.17;20;31;51
7/6/2021-3:2:57.0;508232305;46132193;7940;35;0;764;18;8;-0.0264;-0.8057;0.5773;2.31;-3.50;-1.96;20;27;47
7/6/2021-3:2:57.100;508232305;46132193;7940;29;0;766;19;8;-0.0107;-0.7867;0.5802;2.10;-4.55;-1.96;24;28;48
7/6/2021-3:2:57.200;508232305;46132193;7940;6;0;766;19;8;-0.0083;-0.8018;0.6285;2.38;-4.48;-2.10;19;28;52
7/6/2021-3:2:57.300;508232305;46132193;7940;24;0;765;19;8;-0.0024;-0.7891;0.5812;2.17;-4.69;-2.10;23;27;46
7/6/2021-3:2:57.400;508232305;46132193;7940;12;0;766;19;9;0.0049;-0.7925;0.5988;1.89;-4.62;-1.82;22;31;54
7/6/2021-3:2:57.500;508232305;46132193;7940;26;0;767;19;8;-0.0078;-0.7959;0.5773;2.10;-4.48;-1.96;19;28;50
7/6/2021-3:2:57.600;508232305;46132195;7940;25;0;766;20;9;-0.0181;-0.7989;0.5695;2.31;-3.85;-1.89;19;28;47
7/6/2021-3:2:57.700;508232305;46132195;7940;33;0;764;20;9;-0.0137;-0.8023;0.5695;2.03;-3.57;-1.82;20;28;47
7/6/2021-3:2:57.800;508232305;46132195;7940;10;0;764;20;9;-0.0210;-0.8267;0.6076;1.82;-4.13;-1.96;19;28;48
7/6/2021-3:2:57.900;508232307;46132195;7940;54;0;765;20;9;-0.0244;-0.8008;0.5934;2.31;-3.57;-1.89;19;31;50
7/6/2021-3:2:58.0;508232307;46132195;7940;27;0;766;20;9;-0.0234;-0.8140;0.6022;1.82;-4.34;-1.89;20;28;47
7/6/2021-3:2:58.100;508232307;46132195;7940;16;0;767;20;9;-0.0034;-0.8120;0.6202;1.96;-4.34;-2.24;20;28;48
7/6/2021-3:2:58.200;508232307;46132195;7940;20;0;767;20;9;-0.0166;-0.7920;0.5900;2.03;-4.83;-2.03;18;27;47
7/6/2021-3:2:58.300;508232307;46132197;7940;9;0;767;20;9;-0.0083;-0.7979;0.5822;1.75;-4.48;-2.17;19;31;49
7/6/2021-3:2:58.400;508232307;46132197;7940;15;0;767;20;9;-0.0093;-0.7930;0.5734;2.10;-4.13;-2.10;19;28;47
7/6/2021-3:2:58.500;508232307;46132197;7940;28;0;767;21;9;-0.0190;-0.8067;0.5641;2.31;-4.20;-1.82;19;27;46
7/6/2021-3:2:58.600;508232307;46132197;7940;16;0;766;21;9;-0.0317;-0.7964;0.5558;2.66;-3.57;-1.89;18;28;47
7/6/2021-3:2:58.700;508232307;46132197;7940;12;0;764;21;9;-0.0205;-0.8106;0.6105;1.61;-3.92;-2.03;23;28;46
7/6/2021-3:2:58.800;508232307;46132197;7940;13;0;762;23;9;-0.0244;-0.8052;0.5802;2.45;-3.43;-1.82;22;32;55
7/6/2021-3:2:58.900;508232307;46132197;7940;25;0;758;23;9;-0.0249;-0.8106;0.6090;2.03;-3.99;-2.17;19;28;50
7/6/2021-3:2:59.0;508232307;46132198;7940;16;0;755;26;9;-0.0200;-0.8091;0.6080;2.52;-4.27;-1.89;20;28;47
7/6/2021-3:2:59.100;508232307;46132198;7940;26;0;751;26;9;-0.0166;-0.8101;0.6159;1.96;-4.48;-1.96;19;27;47
7/6/2021-3:2:59.200;508232307;46132198;7940;28;0;751;27;5;0.0024;-0.7974;0.6227;2.17;-4.97;-2.10;19;28;47
7/6/2021-3:2:59.300;508232307;46132198;7940;31;0;752;36;6;-0.0268;-0.8140;0.6178;1.61;-4.41;-1.96;19;31;50
7/6/2021-3:2:59.400;508232307;46132198;7940;11;0;751;39;5;-0.0156;-0.8101;0.6061;2.17;-4.62;-2.03;18;27;46
7/6/2021-3:2:59.500;508232307;46132198;7940;45;0;749;41;6;-0.0181;-0.8150;0.6222;1.82;-4.69;-1.89;20;28;46
7/6/2021-3:2:59.600;508232307;46132200;7940;51;0;749;43;6;-0.0195;-0.7993;0.5998;2.17;-4.20;-1.89;20;27;47
7/6/2021-3:2:59.700;508232307;46132200;7940;14;0;751;45;6;-0.0146;-0.7940;0.6007;2.03;-5.18;-2.03;20;28;48
7/6/2021-3:2:59.800;508232307;46132200;7940;7;0;751;46;6;-0.0039;-0.8062;0.6129;2.31;-4.62;-1.82;21;31;51
7/6/2021-3:2:59.900;508232307;46132200;7940;30;0;754;46;6;-0.0190;-0.8057;0.6183;1.68;-4.27;-1.89;19;27;48
7/6/2021-3:3:0.0;508232307;46132200;7940;20;0;758;46;6;0.0034;-0.8076;0.6022;2.45;-4.90;-2.10;19;28;47
7/6/2021-3:3:0.100;508232307;46132202;7930;13;0;765;44;6;-0.0083;-0.7896;0.5856;2.03;-4.97;-1.82;24;28;47
7/6/2021-3:3:0.200;508232307;46132202;7930;34;0;770;42;6;-0.0156;-0.8008;0.5949;1.75;-4.48;-2.03;22;30;54
7/6/2021-3:3:0.300;508232307;46132202;7930;42;0;773;44;6;-0.0020;-0.8120;0.5685;2.24;-4.48;-2.03;19;28;50
7/6/2021-3:3:0.400;508232307;46132202;7930;30;0;771;44;6;-0.0234;-0.7920;0.5695;2.59;-3.36;-1.89;20;28;47
7/6/2021-3:3:0.500;508232307;46132202;7930;22;0;773;42;6;-0.0220;-0.8111;0.5836;2.38;-3.64;-1.75;20;27;47
7/6/2021-3:3:0.600;508232307;46132202;7930;1;0;775;43;6;-0.0278;-0.8072;0.5890;2.10;-4.83;-1.96;19;28;48
7/6/2021-3:3:0.700;508232307;46132202;7930;28;0;777;42;6;-0.0073;-0.7974;0.6066;1.61;-4.55;-1.96;21;31;50
7/6/2021-3:3:0.800;508232307;46132203;7930;36;0;779;41;6;-0.0020;-0.7979;0.5871;2.31;-4.76;-2.10;19;27;48
