Date-Time;Latitude;Longitude;Altitude(cm);GPSSpeed(mknots);CarSpeed(Km/h);Engine(RPM);CarLoad(%);MassAir(g/s);AccelX(g);AccelY(g);AccelZ(g);GyroX(dps);GyroY(dps);GyroZ(dps);T_OBD(ms);T_SAVE(ms);T_MAIN(ms)
7/6/2021-2:44:14.400;508574098;45358582;7180;24258;45;1283;100;19;-0.1591;-0.5612;0.4841;1.89;0.07;-2.66;21;82;101
7/6/2021-2:44:14.500;508573992;45358642;7190;24522;45;1280;97;21;0.0317;-0.8237;0.8106;2.10;-6.02;-2.66;22;36;57
7/6/2021-2:44:14.600;508573885;45358700;7190;24343;45;1280;96;21;-0.0161;-0.7969;0.5505;2.31;-6.58;-0.49;22;30;52
7/6/2021-2:44:14.700;508573778;45358760;7200;24473;45;1290;97;22;-0.2094;-0.9950;0.9301;7.56;-1.19;0.56;22;32;54
7/6/2021-2:44:14.800;508573672;45358820;7210;24313;46;1297;62;22;-0.0566;-0.8579;0.7100;2.87;-2.17;-0.14;22;32;54
7/6/2021-2:44:14.900;508573563;45358878;7210;24691;46;1288;20;20;-0.2952;-0.8067;0.5290;-0.14;-3.15;-2.31;18;36;58
7/6/2021-2:44:15.0;508573457;45358937;7220;24480;45;1270;14;18;-0.0029;-0.6793;0.4948;-0.63;-5.32;-0.91;18;32;50
7/6/2021-2:44:15.100;508573348;45358998;7230;24549;45;1256;14;14;0.0483;-0.8037;0.7120;2.52;-1.61;-3.50;22;32;50
7/6/2021-2:44:15.200;508573242;45359057;7240;24372;45;1236;14;12;-0.0488;-0.8603;0.5846;3.99;-3.57;-3.99;20;30;52
7/6/2021-2:44:15.300;508573137;45359118;7240;24192;45;1292;13;11;-0.0864;-0.9228;0.7457;4.48;-4.55;-3.92;20;32;52
7/6/2021-2:44:15.400;508573032;45359175;7250;23967;45;1269;11;9;0.1767;-0.8062;0.6388;1.40;-3.92;-1.61;22;36;56
7/6/2021-2:44:15.500;508572928;45359235;7260;23980;44;1266;9;9;0.0717;-0.6803;0.4753;-0.14;-11.20;-1.12;22;31;53
7/6/2021-2:44:15.600;508572822;45359293;7260;24033;44;1255;7;8;0.0834;-0.9711;0.6056;0.35;-5.81;-0.42;17;32;54
7/6/2021-2:44:15.700;508572718;45359352;7270;23790;44;1251;3;8;-0.2372;-0.5441;0.4553;4.90;-2.03;-0.07;22;41;58
7/6/2021-2:44:15.800;508572617;45359412;7270;23677;44;1239;0;8;-0.4758;-0.9355;0.5539;1.54;-3.29;-1.96;22;36;58
7/6/2021-2:44:15.900;508572513;45359468;7280;23502;43;1238;0;9;-0.2264;-0.7803;0.5270;5.25;1.89;-0.91;22;32;54
7/6/2021-2:44:16.0;508572412;45359527;7280;23512;43;1228;0;9;0.0083;-0.6149;0.5022;1.40;-3.29;-0.28;22;32;54
7/6/2021-2:44:16.100;508572312;45359583;7290;23117;42;1222;0;8;0.0634;-10.185;0.5290;2.73;-2.80;-2.59;20;31;53
7/6/2021-2:44:16.200;508572212;45359638;7290;22959;42;1203;0;8;0.0732;-0.8921;0.6412;0.56;-3.64;0.98;21;32;52
7/6/2021-2:44:16.300;508572113;45359695;7300;22613;41;1186;0;8;-0.0854;-0.9721;0.6271;-0.91;-5.53;-2.38;20;36;57
7/6/2021-2:44:16.400;508572017;45359750;7300;22481;41;1172;0;8;-0.0410;-0.8184;0.4480;6.16;-3.22;-1.61;18;30;50
7/6/2021-2:44:16.500;508571922;45359803;7300;21967;40;1154;0;8;-0.0956;-0.7559;0.4719;3.29;-3.78;-0.91;22;32;50
7/6/2021-2:44:16.600;508571827;45359857;7310;21735;40;1091;0;8;-0.1703;-0.9140;0.4651;1.61;-2.59;-0.77;22;32;54
7/6/2021-2:44:16.700;508571733;45359908;7310;21509;39;1001;34;13;-0.1220;-0.9902;0.3684;-0.28;-7.70;-1.26;21;37;59
7/6/2021-2:44:16.800;508571647;45359962;7310;20650;38;908;19;7;-0.2630;-0.9150;0.3065;2.59;-2.17;-2.52;20;32;53
7/6/2021-2:44:16.900;508571557;45360015;7320;20618;38;881;25;6;0.0673;-0.8286;0.4275;2.94;-2.59;-2.10;22;32;52
7/6/2021-2:44:17.0;508571467;45360060;7330;20514;37;866;33;6;-0.1132;-10.209;0.5090;0.98;-3.57;-2.17;20;40;62
7/6/2021-2:44:17.100;508571383;45360113;7320;19944;36;859;27;6;-0.2128;-0.9672;0.3489;4.83;-2.59;-2.31;21;32;52
7/6/2021-2:44:17.200;508571297;45360162;7330;19824;36;869;27;6;-0.1176;-0.7847;0.5431;4.90;-1.82;-1.61;21;36;57
7/6/2021-2:44:17.300;508571215;45360207;7340;19217;35;875;27;6;0.0468;-0.9218;0.3982;1.82;-5.67;-2.59;21;32;53
7/6/2021-2:44:17.400;508571132;45360253;7340;19295;34;874;27;7;-0.1991;-0.8389;0.4109;1.26;-1.33;-2.52;22;32;53
7/6/2021-2:44:17.500;508571053;45360298;7340;18532;33;876;27;7;0.0586;-0.8091;0.5998;1.05;-7.84;-3.43;22;30;52
7/6/2021-2:44:17.600;508570978;45360347;7350;18181;33;876;27;6;0.0678;-0.8594;0.4851;0.28;-6.51;-1.82;20;36;58
7/6/2021-2:44:17.700;508570893;45360385;7350;18527;32;876;28;6;-0.0239;-0.9199;0.6344;4.13;-5.81;-1.05;18;32;52
7/6/2021-2:44:17.800;508570813;45360428;7360;18296;32;877;27;6;0.1225;-0.7418;0.6842;4.55;0.70;1.26;19;32;50
7/6/2021-2:44:17.900;508570740;45360473;7360;17818;31;890;30;7;-0.0171;-0.9492;0.2913;1.89;-1.26;-1.82;20;30;49
7/6/2021-2:44:18.0;508570665;45360517;7360;17476;31;965;0;9;-0.0678;-0.9301;0.5607;2.10;-3.22;-3.01;21;32;52
7/6/2021-2:44:18.100;508570592;45360555;7370;17052;30;1123;0;7;0.0244;-0.8101;0.4699;-0.77;-2.31;-1.33;21;35;56
7/6/2021-2:44:18.200;508570523;45360593;7370;16428;30;1233;0;6;0.2094;-0.9648;0.6778;2.38;-4.27;-1.54;20;32;53
7/6/2021-2:44:18.300;508570450;45360635;7380;16557;30;1197;0;8;-0.0590;-0.9048;0.4275;2.59;-3.78;-2.38;23;32;52
7/6/2021-2:44:18.400;508570380;45360673;7380;16318;29;1194;0;8;-0.1615;-0.7969;0.3816;3.36;-4.83;-3.15;22;30;53
7/6/2021-2:44:18.500;508570312;45360713;7380;15936;29;1176;0;8;-0.0576;-0.9662;0.4280;4.83;-4.13;-2.80;21;37;59
7/6/2021-2:44:18.600;508570243;45360753;7380;15796;29;1157;0;8;-0.0273;-0.8242;0.3338;4.83;-2.45;-0.70;18;32;53
7/6/2021-2:44:18.700;508570177;45360788;7380;15231;28;1134;0;8;0.0259;-0.7759;0.3318;1.61;-7.14;-2.17;22;31;49
7/6/2021-2:44:18.800;508570112;45360825;7380;15175;27;1109;0;7;0.0259;-0.7954;0.4846;-0.63;-3.71;-2.45;21;32;54
7/6/2021-2:44:18.900;508570050;45360863;7370;14886;26;1078;0;7;-0.0166;-0.9135;0.4153;1.54;-3.71;-3.99;22;32;53
7/6/2021-2:44:19.0;508569988;45360900;7370;14488;26;1056;0;7;-0.1064;-0.7906;0.3992;2.87;-6.72;-3.50;20;34;56
7/6/2021-2:44:19.100;508569928;45360933;7370;13974;25;1038;0;8;0.0708;-0.9150;0.6617;6.72;-4.55;-2.10;19;32;52
7/6/2021-2:44:19.200;508569868;45360968;7370;13810;25;1030;0;7;-0.0683;-0.7530;0.6876;4.48;-2.31;-0.98;23;32;51
7/6/2021-2:44:19.300;508569808;45361002;7370;13975;25;1017;0;7;-0.2035;-0.9204;0.6339;2.80;-1.82;-1.54;21;31;54
7/6/2021-2:44:19.400;508569750;45361035;7360;13818;25;1005;0;7;-0.2123;-0.6637;0.2982;3.08;-7.63;-8.12;21;32;53
7/6/2021-2:44:19.500;508569693;45361067;7360;13289;24;994;0;7;-0.2313;-0.7237;0.4885;3.01;-0.42;0.35;23;36;57
7/6/2021-2:44:19.600;508569635;45361102;7360;13259;24;984;0;7;-0.0854;-10.121;0.5495;8.26;-5.88;-0.70;21;30;53
7/6/2021-2:44:19.700;508569578;45361132;7370;13095;24;975;16;7;-0.1088;-0.8711;0.4968;14.84;-4.62;-1.68;22;32;53
7/6/2021-2:44:19.800;508569523;45361162;7380;12669;24;967;34;13;-0.2054;-0.5290;0.5104;12.46;-6.37;-7.77;18;32;54
7/6/2021-2:44:19.900;508569470;45361192;7380;12228;23;978;37;10;0.0224;-0.7647;0.6637;-0.49;-0.91;3.08;21;35;53
7/6/2021-2:44:20.0;508569417;45361225;7390;12198;23;1008;82;8;0.0161;-0.4641;0.5749;-10.71;-3.71;0.63;22;31;52
7/6/2021-2:44:20.100;508569360;45361253;7390;12716;23;940;72;8;-0.0805;-0.6573;0.7100;-21.21;-3.85;-4.48;18;32;54
7/6/2021-2:44:20.200;508569303;45361285;7400;13031;22;911;82;9;-0.1362;-0.9316;0.5119;-15.61;-4.13;-5.39;21;31;49
7/6/2021-2:44:20.300;508569247;45361322;7400;13317;22;893;84;11;0.1381;-10.809;0.7266;4.83;-5.18;1.96;21;32;53
7/6/2021-2:44:20.400;508569192;45361353;7400;12930;23;926;85;12;0.0449;-0.8486;0.5817;16.24;-3.29;1.26;22;45;66
7/6/2021-2:44:20.500;508569138;45361380;7410;12317;24;943;85;12;-0.1449;-0.6686;0.4582;17.15;-3.22;-0.63;18;31;53
7/6/2021-2:44:20.600;508569085;45361408;7410;12254;24;964;83;12;-0.0127;-0.6642;0.6515;5.25;-10.78;-3.99;22;31;49
7/6/2021-2:44:20.700;508569030;45361440;7420;12598;24;965;86;12;0.1449;-0.6120;0.7876;-4.34;-7.49;-3.64;18;31;53
7/6/2021-2:44:20.800;508568970;45361472;7420;13274;24;954;90;12;0.0107;-0.6954;0.7486;-7.42;-4.97;-2.87;18;36;54
7/6/2021-2:44:20.900;508568913;45361507;7430;13133;24;952;100;13;-0.0156;-0.9091;0.5773;-2.03;-5.46;-0.63;22;31;49
7/6/2021-2:44:21.0;508568855;45361538;7430;13365;24;958;98;13;-0.0795;-0.9467;0.7242;2.87;-5.88;-3.64;22;31;53
7/6/2021-2:44:21.100;508568797;45361572;7430;13359;24;969;100;14;-0.0356;-0.7935;0.6515;6.72;-3.85;-2.45;18;31;53
7/6/2021-2:44:21.200;508568740;45361605;7440;13181;25;986;99;14;-0.0371;-0.8623;0.7257;4.06;-6.09;-3.64;22;31;49
7/6/2021-2:44:21.300;508568683;45361638;7440;13327;25;994;100;14;0.0586;-0.7632;0.7056;2.87;-4.20;-2.59;22;35;57
7/6/2021-2:44:21.400;508568623;45361673;7440;13578;25;1000;97;14;0.0566;-0.7286;0.8076;0.21;-7.98;-4.41;20;32;54
7/6/2021-2:44:21.500;508568563;45361708;7450;13808;25;1003;97;14;0.0600;-0.6149;0.5490;0.49;-7.14;-2.03;21;32;52
7/6/2021-2:44:21.600;508568503;45361745;7450;13852;25;1013;97;15;-0.1181;-0.6529;0.6842;0.28;-2.03;-2.24;22;31;52
7/6/2021-2:44:21.700;508568442;45361777;7450;14047;26;1018;100;15;-0.1976;-0.7188;0.7178;0.84;-2.80;-2.87;18;36;58
7/6/2021-2:44:21.800;508568380;45361813;7460;14138;26;1031;100;15;0.0088;-0.8408;0.5744;-0.42;-12.11;-5.11;20;31;49
7/6/2021-2:44:21.900;508568320;45361852;7460;14118;26;1034;99;16;0.0127;-0.5251;0.7037;7.21;-3.08;-2.31;21;31;51
7/6/2021-2:44:22.0;508568258;45361888;7460;14171;26;1051;99;16;0.1176;-0.7989;0.6090;1.33;-7.14;-1.89;18;32;53
7/6/2021-2:44:22.100;508568195;45361923;7460;14666;27;1059;100;16;-0.0747;-0.8374;0.6827;2.24;-4.62;-1.82;18;36;54
7/6/2021-2:44:22.200;508568132;45361962;7460;14495;27;1070;99;16;-0.1737;-0.9179;0.6173;0.49;-5.32;-5.53;19;31;49
7/6/2021-2:44:22.300;508568068;45362000;7470;14663;27;1080;99;17;0.0454;-0.8028;0.8882;-1.26;-6.65;-2.94;19;32;51
7/6/2021-2:44:22.400;508568005;45362040;7470;14807;27;1087;98;17;-0.0483;-0.5129;0.7198;-1.54;-4.41;-1.12;18;31;50
7/6/2021-2:44:22.500;508567938;45362080;7470;15196;28;1101;99;17;-0.0600;-0.6568;0.5353;2.31;-2.31;1.19;20;31;49
7/6/2021-2:44:22.600;508567873;45362118;7480;14922;28;1111;99;18;0.1059;-0.8760;0.7183;6.30;0.49;0.14;19;36;56
7/6/2021-2:44:22.700;508567807;45362157;7470;15278;28;1126;98;18;0.0771;-0.6861;0.7013;5.39;-1.68;-0.84;19;31;50
7/6/2021-2:44:22.800;508567740;45362198;7480;15392;29;1142;98;19;0.0024;-0.6266;0.6134;3.29;-1.61;-0.84;18;31;50
7/6/2021-2:44:22.900;508567672;45362238;7480;15553;29;1151;98;19;-0.0605;-0.7296;0.6803;2.24;-1.96;-0.21;18;32;50
7/6/2021-2:44:23.0;508567603;45362280;7480;15699;29;1168;98;19;-0.1523;-0.7608;0.5373;1.19;-2.80;1.12;18;36;54
7/6/2021-2:44:23.100;508567533;45362320;7490;16041;30;1176;98;20;-0.0390;-0.6041;0.7379;0.00;-3.01;-2.31;22;31;49
7/6/2021-2:44:23.200;508567463;45362362;7490;16145;30;1196;98;20;-0.1010;-0.8891;0.6154;-0.07;-0.70;-3.29;19;32;54
7/6/2021-2:44:23.300;508567392;45362403;7500;16292;30;1203;98;21;-0.1142;-0.6681;0.6451;3.43;2.10;-0.35;20;31;50
7/6/2021-2:44:23.400;508567320;45362447;7500;16530;31;1221;100;21;0.0449;-0.5841;0.7710;4.34;-1.05;-0.70;19;31;51
7/6/2021-2:44:23.500;508567247;45362488;7500;16805;31;1232;99;22;0.0561;-0.5524;0.7310;4.20;-1.68;0.28;18;36;55
7/6/2021-2:44:23.600;508567175;45362532;7500;16700;32;1249;98;22;0.2172;-0.5851;0.7379;4.34;-6.86;-0.07;19;32;50
7/6/2021-2:44:23.700;508567100;45362573;7510;17131;32;1269;97;23;-0.1181;-0.7505;0.4953;2.31;-7.98;-2.03;18;31;50
7/6/2021-2:44:23.800;508567023;45362617;7510;17264;32;1282;98;24;-0.0625;-0.6934;0.6715;0.91;0.42;-1.54;18;32;50
7/6/2021-2:44:23.900;508566947;45362663;7510;17540;33;1295;99;24;0.0137;-0.5612;0.9584;5.18;-2.03;-2.52;19;37;55
7/6/2021-2:44:24.0;508566870;45362708;7510;17710;33;1306;62;25;0.0088;-0.7481;0.5812;0.63;-7.21;-3.01;18;31;50
7/6/2021-2:44:24.100;508566792;45362753;7510;17826;33;1306;49;21;-0.0098;-0.7071;0.6188;-1.54;-5.95;-2.38;18;32;50
7/6/2021-2:44:24.200;508566713;45362800;7520;18117;34;1319;47;20;-0.1596;-0.7896;0.6642;1.47;-4.55;-3.36;18;31;49
7/6/2021-2:44:24.300;508566633;45362847;7520;18085;34;1326;45;19;0.0229;-0.7720;0.5866;3.36;-5.46;-0.77;17;32;50
7/6/2021-2:44:24.400;508566555;45362893;7530;18126;34;1343;50;19;-0.2128;-0.7310;0.5734;6.51;-0.77;-1.19;18;36;53
7/6/2021-2:44:24.500;508566475;45362938;7530;18134;34;1342;54;19;0.0229;-0.9238;0.6700;4.20;-5.25;0.70;18;31;49
7/6/2021-2:44:24.600;508566393;45362985;7540;18251;34;1346;55;18;0.0512;-0.6666;0.5905;3.01;-3.43;0.21;18;32;50
