Date-Time,Latitude,Longitude,Altitude(cm),GPSSpeed(mknots),CarSpeed(Km/h),Engine(RPM),CarLoad(%),MassAir(g/s),AccelX(g),AccelY(g),AccelZ(g),GyroX(dps),GyroY(dps),GyroZ(dps),T_OBD(ms),T_SAVE(ms),T_MAIN(ms)
6/6/2021-24:38:53.700,508610068,45293185,7190,28469,54,2115,98,56,0.0244,-0.6593,0.7379,2.80,-3.78,-2.10,19,39,59
6/6/2021-24:38:53.800,508610077,45292975,7190,28777,54,2138,97,59,0.0317,-0.6725,0.8828,1.33,-4.48,-3.29,22,34,53
6/6/2021-24:38:53.900,508610087,45292763,7180,29181,55,2167,98,63,0.0142,-0.6754,0.7818,0.98,-3.92,-2.66,19,33,55
6/6/2021-24:38:54.0,508610097,45292547,7180,29533,56,2194,97,66,-0.0459,-0.7764,0.7100,1.96,-4.13,-2.24,19,34,53
6/6/2021-24:38:54.100,508610107,45292328,7180,29908,56,2229,99,69,0.0649,-0.6725,0.7554,1.47,-5.18,-2.45,22,34,53
6/6/2021-24:38:54.200,508610115,45292108,7180,30328,57,2260,99,70,0.0610,-0.7598,0.7886,-0.35,-4.48,-0.91,19,38,60
6/6/2021-24:38:54.300,508610125,45291883,7170,30755,58,2293,99,71,0.0625,-0.7096,0.7340,1.75,-4.41,-1.26,18,34,53
6/6/2021-24:38:54.400,508610137,45291655,7170,31302,59,2328,99,73,0.0659,-0.7310,0.7286,3.43,-4.69,-2.38,24,34,52
6/6/2021-24:38:54.500,508610147,45291423,7170,31697,60,2356,97,74,-0.1035,-0.7066,0.9653,7.56,-5.53,-2.87,19,33,57
6/6/2021-24:38:54.600,508610157,45291190,7170,32091,61,2393,97,76,-0.0795,-0.5900,0.8608,3.85,-4.55,-2.45,18,55,74
6/6/2021-24:38:54.700,508610167,45290952,7170,32555,62,2428,98,77,-0.2040,-0.5851,0.8447,4.34,-4.76,-3.01,20,43,61
6/6/2021-24:38:54.800,508610178,45290710,7160,33158,63,2463,98,78,-0.1308,-0.6183,0.7681,-3.71,-4.76,-1.33,19,34,54
6/6/2021-24:38:54.900,508610188,45290465,7160,33545,64,2498,98,79,-0.0332,-0.5954,0.8067,-0.42,-2.87,-0.70,19,34,53
6/6/2021-24:38:55.0,508610198,45290217,7160,34018,64,2529,98,80,-0.1010,-0.6695,0.8062,2.94,-2.87,-1.96,20,38,57
6/6/2021-24:38:55.100,508610210,45289965,7160,34529,65,2566,98,82,0.1088,-0.5983,0.7061,0.00,-4.06,-1.89,19,33,53
6/6/2021-24:38:55.200,508610222,45289710,7150,34960,66,2606,98,83,-0.0049,-0.6988,0.7422,2.24,-5.32,-2.52,19,34,53
6/6/2021-24:38:55.300,508610233,45289452,7150,35433,67,2633,98,85,-0.0337,-0.7247,0.7344,1.68,-3.64,-3.01,21,34,53
6/6/2021-24:38:55.400,508610243,45289190,7150,35947,68,2670,98,87,-0.0337,-0.6710,0.7476,4.34,-3.92,-2.38,20,34,55
6/6/2021-24:38:55.500,508610255,45288925,7140,36245,69,2706,98,86,-0.0752,-0.6495,0.6310,0.98,-3.85,-1.19,17,39,59
