Date-Time,Latitude,Longitude,Altitude(cm),GPSSpeed(mknots),CarSpeed(Km/h),Engine(RPM),CarLoad(%),MassAir(g/s),AccelX(g),AccelY(g),AccelZ(g),GyroX(dps),GyroY(dps),GyroZ(dps),T_OBD(ms),T_SAVE(ms),T_MAIN(ms)
7/6/2021-2:21:30.500,508499952,44275472,5770,7,0,247,79,2,-0.0176,-0.8579,0.5461,1.89,-4.34,-2.03,23,0,120
7/6/2021-2:21:30.600,508499950,44275472,5770,35,0,247,100,2,0.0146,-0.8486,0.5675,2.45,-4.55,-2.10,21,27,50
7/6/2021-2:21:30.700,508499952,44275472,5770,36,0,393,74,3,-0.0142,-0.8569,0.5348,2.10,-3.71,-1.82,22,28,49
7/6/2021-2:21:30.800,508499952,44275472,5770,12,0,472,72,4,-0.0122,-0.8428,0.5480,2.17,-4.55,-2.03,23,31,53
7/6/2021-2:21:30.900,508499952,44275472,5760,22,0,472,69,6,-0.0083,-0.8140,0.5378,2.38,-4.13,-1.82,18,27,50
7/6/2021-2:21:31.0,508499952,44275472,5760,52,0,654,50,8,-0.0068,-0.8218,0.5680,1.89,-4.83,-1.96,19,28,46
7/6/2021-2:21:31.100,508499952,44275472,5760,31,0,684,5,10,-0.0059,-0.8145,0.5607,2.17,-4.48,-2.17,21,28,47
7/6/2021-2:21:31.200,508499952,44275472,5760,21,0,816,12,9,-0.0181,-0.8233,0.5617,2.03,-4.20,-1.82,21,27,48
7/6/2021-2:21:31.300,508499952,44275472,5760,15,0,779,21,8,-0.0156,-0.8252,0.5529,1.96,-4.69,-1.96,23,32,53
7/6/2021-2:21:31.400,508499953,44275472,5760,11,0,779,21,8,0.0078,-0.8213,0.5695,1.96,-4.62,-2.03,20,27,50
7/6/2021-2:21:31.500,508499953,44275473,5760,17,0,756,22,8,-0.0122,-0.8194,0.5558,2.24,-4.55,-1.82,18,27,47
7/6/2021-2:21:31.600,508499953,44275473,5760,27,0,756,22,8,-0.0171,-0.8247,0.5431,2.03,-3.85,-1.75,23,28,46
7/6/2021-2:21:31.700,508499953,44275473,5760,1,0,755,23,8,-0.0205,-0.8228,0.5524,2.38,-3.99,-1.96,23,27,50
7/6/2021-2:21:31.800,508499953,44275473,5760,21,0,761,22,8,-0.0210,-0.8267,0.5529,2.31,-3.85,-1.96,22,31,54
7/6/2021-2:21:31.900,508499953,44275473,5760,25,0,768,20,9,-0.0244,-0.8228,0.5563,2.31,-3.85,-1.75,23,28,50
7/6/2021-2:21:32.0,508499953,44275473,5760,20,0,773,21,9,-0.0142,-0.8311,0.5632,2.10,-4.20,-1.89,23,27,50
7/6/2021-2:21:32.100,508499955,44275473,5760,13,0,771,21,9,-0.0161,-0.8311,0.5817,2.10,-4.34,-2.10,21,28,51
7/6/2021-2:21:32.200,508499955,44275473,5760,19,0,766,22,9,-0.0107,-0.8203,0.5675,2.03,-4.97,-1.96,22,32,53
7/6/2021-2:21:32.300,508499955,44275473,5760,8,0,766,22,9,-0.0181,-0.8228,0.5749,1.89,-4.48,-1.82,20,27,49
7/6/2021-2:21:32.400,508499955,44275473,5760,20,0,765,22,9,-0.0088,-0.8247,0.5641,1.96,-4.97,-1.89,20,28,48
