Date-Time,Latitude,Longitude,Altitude(cm),GPSSpeed(mknots),CarSpeed(Km/h),Engine(RPM),CarLoad(%),MassAir(g/s),AccelX(g),AccelY(g),AccelZ(g),GyroX(dps),GyroY(dps),GyroZ(dps),T_OBD(ms),T_SAVE(ms),T_MAIN(ms)
6/6/2021-23:41:23.500,0,0,0,0,0,184,82,2,-0.0512,-0.8286,0.5217,2.31,-3.99,-1.89,22,0,118
6/6/2021-23:41:23.600,0,0,0,0,0,254,81,2,-0.0342,-0.8428,0.5441,2.31,-4.20,-2.10,19,27,49
6/6/2021-23:41:23.700,0,0,0,0,0,268,100,3,-0.0244,-0.8574,0.5636,2.45,-4.20,-2.17,20,28,47
6/6/2021-23:41:23.800,0,0,0,0,0,357,76,4,-0.0259,-0.8540,0.5529,2.31,-4.34,-2.24,20,26,46
6/6/2021-23:41:23.900,0,0,0,0,0,519,72,6,-0.0298,-0.8467,0.5441,2.10,-4.27,-2.17,19,30,50
6/6/2021-23:41:24.0,0,0,0,0,0,641,54,8,-0.0137,-0.8389,0.5388,2.17,-4.41,-2.17,20,28,47
6/6/2021-23:41:24.100,0,0,0,0,0,741,0,10,-0.0195,-0.8247,0.5305,2.24,-4.13,-2.10,20,26,46
6/6/2021-23:41:24.200,0,0,0,0,0,852,17,9,-0.0195,-0.8379,0.5422,2.10,-4.41,-2.10,22,27,47
6/6/2021-23:41:24.300,0,0,0,0,0,826,19,8,-0.0249,-0.8364,0.5466,2.17,-4.34,-1.89,22,26,48
6/6/2021-23:41:24.400,0,0,0,0,0,769,18,8,-0.0307,-0.8311,0.5436,2.31,-4.34,-2.03,20,27,49
6/6/2021-23:41:24.500,0,0,0,0,0,768,18,9,-0.0288,-0.8359,0.5392,2.03,-4.55,-2.17,21,25,45
6/6/2021-23:41:24.600,0,0,0,0,0,769,18,8,-0.0356,-0.8218,0.5417,2.45,-4.55,-1.89,20,26,47
6/6/2021-23:41:24.700,0,0,0,0,0,767,19,9,-0.0337,-0.8418,0.5427,1.96,-4.34,-2.03,20,26,46
6/6/2021-23:41:24.800,0,0,0,0,0,766,19,9,-0.0322,-0.8423,0.5300,2.10,-4.48,-1.96,19,27,47
6/6/2021-23:41:24.900,0,0,0,0,0,767,19,9,-0.0337,-0.8228,0.5309,2.24,-4.20,-2.17,21,28,47
